SkadeNr SkadeAr avvikling antallskader SkadeEstimat Regress UtbetaltBelop RBNS
1002168-1 2003 0 1 842.00 0.00 -842.00 0.00
1004973-2 2004 0 0 4271.00 0.00 -4271.00 0.00
1004973-2 2004 2 1 10680.00 0.00 -10680.00 0.00
1018308-1 2003 2 0 25000.00 0.00 0.00 25000.00
1018308-1 2003 3 0 15000.00 0.00 0.00 15000.00
1018308-1 2003 4 1 10000.00 0.00 -20000.00 -10000.00
1018308-1 2003 5 0 19943.00 0.00 -49943.00 -30000.00
1018660-2 2004 0 1 50000.00 0.00 -200.00 49800.00
1018660-2 2004 1 0 -49800.00 0.00 0.00 -49800.00
1020426-1 2004 0 1 172.00 0.00 -172.00 0.00
1034156-1 2004 0 0 200000.00 0.00 -14956.00 185044.00
1034156-1 2004 1 0 0.00 0.00 -15986.00 -15986.00
1034156-1 2004 2 1 100665.00 0.00 -269723.00 -169058.00
1039905-1 2003 3 0 300000.00 0.00 -17956.00 282044.00
1039905-1 2003 6 1 -281349.00 0.00 -695.00 -282044.00
1040331-1 2003 1 0 600000.00 0.00 -1350.00 598650.00
1040331-1 2003 2 0 -80000.00 0.00 -16600.00 -96600.00
1040331-1 2003 3 1 -17026.00 0.00 -485024.00 -502050.00
1044419-3 2007 0 0 50000.00 0.00 -18092.00 31908.00
1044419-3 2007 2 1 -31908.00 0.00 0.00 -31908.00
1047966-1 2004 0 1 2461.00 0.00 -2461.00 0.00
1048059-1 2003 0 0 10000.00 0.00 -337.00 9663.00
1048059-1 2003 1 0 190000.00 0.00 -1405.00 188595.00
1048059-1 2003 2 1 -159398.00 0.00 -38860.00 -198258.00
1048082-3 2003 3 1 400000.00 0.00 0.00 400000.00
1048082-3 2003 6 0 -82062.00 0.00 -317938.00 -400000.00
1048181-6 2007 1 1 10000.00 0.00 0.00 10000.00
1048181-6 2007 2 0 -10000.00 0.00 0.00 -10000.00
1051403-1 2004 0 1 100000.00 0.00 -5294.00 94706.00
1051403-1 2004 3 0 -94706.00 0.00 0.00 -94706.00
1051821-1 2003 1 1 20000.00 0.00 0.00 20000.00
1051821-1 2003 3 0 -20000.00 0.00 0.00 -20000.00
1059007-1 2003 1 1 400000.00 0.00 -1250.00 398750.00
1059007-1 2003 2 0 0.00 0.00 -33000.00 -33000.00
1059007-1 2003 3 0 -305059.00 0.00 -60691.00 -365750.00
1059017-1 2004 0 0 25000.00 0.00 0.00 25000.00
1059017-1 2004 1 1 -25000.00 0.00 0.00 -25000.00
1062624-1 2004 0 1 3317.00 0.00 -3317.00 0.00
1073046-1 2004 1 0 80000.00 0.00 0.00 80000.00
1073046-1 2004 3 1 70000.00 0.00 0.00 70000.00
1073046-1 2004 4 0 -150000.00 0.00 0.00 -150000.00
1073693-7 2007 0 1 0.00 0.00 0.00 0.00
1076989-2 2007 0 0 20000.00 0.00 0.00 20000.00
1076989-2 2007 2 1 -20000.00 0.00 0.00 -20000.00
1077545-3 2009 1 1 2651.00 0.00 -2651.00 0.00
1081677-4 2006 1 1 50000.00 0.00 -3070.00 46930.00
1081677-4 2006 3 0 100000.00 0.00 -1060.00 98940.00
1081677-4 2006 4 0 -135870.00 0.00 -10000.00 -145870.00
1089002-1 2006 1 0 20000.00 0.00 0.00 20000.00
1089002-1 2006 4 1 -20000.00 0.00 0.00 -20000.00
1099231-5 2009 0 1 2935.00 0.00 -2935.00 0.00
1101397-3 2009 1 1 10000.00 0.00 -666.00 9334.00
1101397-3 2009 2 0 -9334.00 0.00 0.00 -9334.00
1103132-2 2006 1 0 25000.00 0.00 -2445.00 22555.00
1103132-2 2006 3 0 0.00 0.00 -18750.00 -18750.00
1103132-2 2006 4 1 26195.00 0.00 -30000.00 -3805.00
1105342-1 2006 1 0 300000.00 0.00 -69684.00 230316.00
1105342-1 2006 2 0 351000.00 0.00 -101125.00 249875.00
1105342-1 2006 3 1 113684.00 0.00 -593875.00 -480191.00
1127056-2 2007 1 1 10000.00 0.00 -8112.00 1888.00
1127056-2 2007 2 0 -1888.00 0.00 0.00 -1888.00
1127259-1 2006 1 0 50000.00 0.00 -5235.00 44765.00
1127259-1 2006 2 0 105000.00 0.00 0.00 105000.00
1127259-1 2006 3 0 0.00 0.00 -10625.00 -10625.00
1127259-1 2006 5 1 610860.00 0.00 -750000.00 -139140.00
1141338-1 2009 1 0 25000.00 0.00 0.00 25000.00
1141338-1 2009 2 1 -12125.00 0.00 -12875.00 -25000.00
1146974-4 2007 1 1 0.00 0.00 0.00 0.00
1152673-3 2008 0 0 50000.00 0.00 -3230.00 46770.00
1152673-3 2008 1 0 101500.00 0.00 -69279.00 32221.00
1152673-3 2008 2 0 120000.00 0.00 -20234.38 99765.62
1152673-3 2008 3 0 2280000.00 0.00 -50000.00 2230000.00
1152673-3 2008 5 1 0.00 0.00 -21375.00 -21375.00
1153448-6 2007 0 1 0.00 0.00 0.00 0.00
1153551-2 2006 2 0 100000.00 0.00 -30000.00 70000.00
1153551-2 2006 5 1 535046.88 0.00 -605046.88 -70000.00
1157663-1 2009 0 1 88350.00 0.00 -88350.00 0.00
1157663-1 2009 1 0 911650.00 0.00 -314290.00 597360.00
1157663-1 2009 2 0 1500000.00 0.00 -163722.34 1336277.66
1157663-1 2009 3 0 -558214.66 0.00 -1375423.00 -1933637.66
1160858-2 2007 0 1 5000.00 0.00 -200.00 4800.00
1160858-2 2007 2 0 -4800.00 0.00 0.00 -4800.00
1166226-8 2007 1 0 25000.00 0.00 0.00 25000.00
1166226-8 2007 2 1 -25000.00 0.00 0.00 -25000.00
1167653-1 2007 0 0 50000.00 0.00 -6486.00 43514.00
1167653-1 2007 1 1 -24440.00 0.00 -19074.00 -43514.00
1170998-2 2006 1 1 0.00 0.00 0.00 0.00
1182943-1 2008 0 1 0.00 0.00 0.00 0.00
1182943-2 2008 0 0 25000.00 0.00 0.00 25000.00
1182943-2 2008 2 1 -25000.00 0.00 0.00 -25000.00
1182943-3 2008 0 1 25000.00 0.00 0.00 25000.00
1182943-3 2008 2 0 -25000.00 0.00 0.00 -25000.00
1182943-4 2008 0 0 25000.00 0.00 0.00 25000.00
1182943-4 2008 2 1 -25000.00 0.00 0.00 -25000.00
1182943-5 2008 0 1 25000.00 0.00 0.00 25000.00
1182943-5 2008 2 0 -25000.00 0.00 0.00 -25000.00
1185843-1 2007 1 1 13000.00 0.00 -2725.00 10275.00
1185843-1 2007 2 0 3100.00 0.00 -3056.00 44.00
1185843-1 2007 3 0 -10319.00 0.00 0.00 -10319.00
1188565-1 2007 0 1 25000.00 0.00 0.00 25000.00
1188565-1 2007 2 0 -25000.00 0.00 0.00 -25000.00
1193928-3 2009 0 1 100000.00 0.00 -40471.00 59529.00
1193928-3 2009 1 0 100000.00 0.00 -28551.00 71449.00
1193928-3 2009 2 0 -128073.00 0.00 -2905.00 -130978.00
1199869-1 2007 0 0 500000.00 0.00 0.00 500000.00
1199869-1 2007 1 1 -490000.00 0.00 -10000.00 -500000.00
1199890-1 2006 1 0 200000.00 0.00 -1000.00 199000.00
